project,amt_2024_actual,amt_2025_approved,amt_2025_revised,amt_2025_perf,amt_2026_approved,amt_2026_tag_climate,amt_2026_tag_nutrition,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
Purchase of 8No of Toyota Hilux For Security operations within the state.,0.0,400000000.0,400000000.0,280000000.0,800000000.0,0.0,0.0,209,0.11438,0.13235,011100100100,GOVERNMENT HOUSE,23010105,PURCHASE OF MOTOR VEHICLES,70361,PUBLIC ORDER AND SAFETY N.E.C.,20842800,State wide,13100123000100,Reform of Government and Governance - General
"Purchase of 60No. Sets Of Tables, 40 No of Visitors Chairs And 10 No. of Cushion Chairs in the Government House.",0.0,400000000.0,400000000.0,74357000.0,900000000.0,0.0,0.0,209,0.12255,0.14052,011100100100,GOVERNMENT HOUSE,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100124000100,Reform of Government and Governance - General
Purchase of 30 No. Sets Of Desktop Computers For New Offices In The Government House,0.0,5250000.0,5250000.0,0.0,20000000.0,0.0,0.0,209,0.13072,0.14869,011100100100,GOVERNMENT HOUSE,23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100123000200,Reform of Government and Governance - General
Purchase of 3 No. of Sharp MX360 computer printers and 2 No of Laserjet Printer in the Government House.,0.0,3200000.0,3200000.0,750000.0,10000000.0,0.0,0.0,209,0.13889,0.15686,011100100100,GOVERNMENT HOUSE,23010114,PURCHASE OF COMPUTER PRINTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100123000300,Reform of Government and Governance - General
Purchase of 10 No of Hp Laser jet M477 Coloured Photocopier in the Government House.,0.0,5000000.0,5000000.0,0.0,0.0,0.0,0.0,209,0.14706,0.16503,011100100100,GOVERNMENT HOUSE,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100124000200,Reform of Government and Governance - General
Purchase of 5 No of Shreeding Machine Pieces For Offices in the Government House,0.0,1050000.0,1050000.0,0.0,0.0,0.0,0.0,209,0.15523,0.1732,011100100100,GOVERNMENT HOUSE,23010117,PURCHASE OF SHREDDING MACHINES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100123000400,Reform of Government and Governance - General
Purchase of 18 No of Units Of 500Kva Generators in the Government House Clinic & others.,0.0,2000000000.0,2000000000.0,378933593.6,1000000000.0,0.0,0.0,209,0.16258,0.18056,011100100100,GOVERNMENT HOUSE,23010119,PURCHASE OF POWER GENERATING SET,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100124000300,Reform of Government and Governance - General
Purchase of 1500 No. Units of Fire Fighting Equipment to Govt House And Lodges,0.0,50000000.0,50000000.0,0.0,50000000.0,0.0,0.0,209,0.17075,0.18873,011100100100,GOVERNMENT HOUSE,23010123,PURCHASE OF FIRE FIGHTING EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100123000500,Reform of Government and Governance - General
"Purchase of 150 No of Communication Gadgets, Cctv Cameras, Bullet Proof Jackets And Security Kits To Operatives in the Government House",306623733.24,80000000.0,80000000.0,0.0,100000000.0,0.0,0.0,209,0.17892,0.1969,011100100100,GOVERNMENT HOUSE,23010128,PURCHASE OF SECURITY EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20842800,State wide,13100123000600,Reform of Government and Governance - General
"Construction of Additional 60 No of Office Blocks in Government House, Maiduguri.",0.0,900000000.0,900000000.0,739382606.72,1800000000.0,0.0,0.0,209,0.18709,0.20507,011100100100,GOVERNMENT HOUSE,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70611,HOUSING DEVELOPMENT,20822100,MAIDUGURI METRO,13100123000700,Reform of Government and Governance - General
Construction of 100No of Bedroom Apartment Within The Govt House,0.0,100000000.0,100000000.0,0.0,100000000.0,0.0,0.0,209,0.19526,0.21324,011100100100,GOVERNMENT HOUSE,23020102,CONSTRUCTION / PROVISION OF RESIDENTIAL BUILDINGS,70621,COMMUNITY DEVELOPMENT,20822100,MAIDUGURI METRO,13100123000800,Reform of Government and Governance - General
Construction of 20 No of Additional Solar Power/Installation Within Government house And Lodges,0.0,80000000.0,80000000.0,0.0,20000000.0,0.0,0.0,209,0.20343,0.22141,011100100100,GOVERNMENT HOUSE,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,20822100,MAIDUGURI METRO,13100123000900,Reform of Government and Governance - General
Construction of 60 No of additional Quarters For Governor'S Domestic Staff,0.0,500000000.0,500000000.0,0.0,100000000.0,0.0,0.0,209,0.21078,0.22876,011100100100,GOVERNMENT HOUSE,23020104,CONSTRUCTION / PROVISION OF HOUSING,70621,COMMUNITY DEVELOPMENT,20822100,MAIDUGURI METRO,13100123001000,Reform of Government and Governance - General
Completion of 2 No of Government House Staff Clinic,0.0,50000000.0,50000000.0,0.0,50000000.0,0.0,0.0,209,0.21895,0.23693,011100100100,GOVERNMENT HOUSE,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70731,GENERAL HOSPITAL SERVICES,20822100,MAIDUGURI METRO,13100123001100,Reform of Government and Governance - General
Construction of Guest house within The Government House,0.0,30500000.0,30500000.0,0.0,1000000000.0,0.0,0.0,209,0.22712,0.2451,011100100100,GOVERNMENT HOUSE,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70621,COMMUNITY DEVELOPMENT,20822100,MAIDUGURI METRO,13100124000400,Reform of Government and Governance - General
Rehabilitation of 20 No of Existing Office Buildings within the Government House,0.0,200000000.0,200000000.0,159660107.54,791884000.0,0.0,0.0,209,0.23529,0.25327,011100100100,GOVERNMENT HOUSE,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70611,HOUSING DEVELOPMENT,20822100,MAIDUGURI METRO,13100124000500,Reform of Government and Governance - General
Planting of 70 No of Trees at the Premises Of Government House,0.0,5000000.0,5000000.0,0.0,5000000.0,0.0,0.0,209,0.24346,0.26144,011100100100,GOVERNMENT HOUSE,23040101,TREE PLANTING,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100123001200,Reform of Government and Governance - General
"Celebrations of Eid Maulud, Eid El-fir and Children Day And New Year Celebrations in the Government House",0.0,500000000.0,500000000.0,0.0,500000000.0,0.0,0.0,209,0.25163,0.26961,011100100100,GOVERNMENT HOUSE,23050104,ANNIVERSARIES/CELEBRATIONS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20842800,State wide,13100124000600,Reform of Government and Governance - General
Purchase Of Khitchen Equipment within the Government House,0.0,50000000.0,50000000.0,0.0,50000000.0,0.0,0.0,209,0.2598,0.27778,011100100100,GOVERNMENT HOUSE,23010120,PURCHASE OFCANTEEN / KITCHEN EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100125000100,Reform of Government and Governance - General
Purchase of feeding for various Sheep And Goat within the Government House,0.0,40000000.0,40000000.0,0.0,150000000.0,0.0,0.0,209,0.26716,0.28513,011100100100,GOVERNMENT HOUSE,23010147,PURCHASE OF LIVESTOCK ASSETS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100125000200,Reform of Government and Governance - General
Purchase Of 150Nos. of Executive tables and 50Nos. of Executive chairs for Deputy Governor's Office.,0.0,100000000.0,100000000.0,0.0,100000000.0,0.0,0.0,209,0.30801,0.32598,011100100200,DEPUTY GOVERNOR'S OFFICE,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100124009800,Reform of Government and Governance - General
Purchase Of 15Nos. of Hp Desktops And 10Nos. of Hp Laptops Computers for Deputy Governor's Office.,0.0,5000000.0,5000000.0,0.0,5000000.0,0.0,0.0,209,0.31536,0.33333,011100100200,DEPUTY GOVERNOR'S OFFICE,23010113,PURCHASE OF COMPUTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100124009900,Reform of Government and Governance - General
Purchase Of 10Nos. of Hp Laser Jet Computer Printers for Deputy Governor's Office.,0.0,3000000.0,3000000.0,0.0,3000000.0,0.0,0.0,209,0.32353,0.3415,011100100200,DEPUTY GOVERNOR'S OFFICE,23010114,PURCHASE OF COMPUTER PRINTERS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100124010000,Reform of Government and Governance - General
Purchase Of 1Nos. of Sharp Photocopying Machines for Deputy Governor's Office.,0.0,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,209,0.3317,0.34967,011100100200,DEPUTY GOVERNOR'S OFFICE,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100124010100,Reform of Government and Governance - General
Purchase Of 5Nos. of closed-circuit televisin for Deputy Governor's Office.,0.0,2000000.0,2000000.0,0.0,2000000.0,0.0,0.0,209,0.33987,0.35784,011100100200,DEPUTY GOVERNOR'S OFFICE,23010128,PURCHASE OF SECURITY EQUIPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,20822100,MAIDUGURI METRO,13100124010200,Reform of Government and Governance - General
Procurement of 2 No of Toyota Hilux for SEMA,1000000000.0,670000.0,670000.0,0.0,110000000.0,0.0,0.0,209,0.3799,0.39788,011100800100,BORNO STATE EMERGENCY MANAGEMENT AGENCY (SEMA),23010105,PURCHASE OF MOTOR VEHICLES,71091,SOCIAL PROTECTION N.E.C.,20822100,MAIDUGURI METRO,13100126000100,Reform of Government and Governance - General
Procurement of 2 No of Toyota Hummer Buses and Procurement of 2 No of Ambulance Buses for SEMA,2600000000.0,0.0,5000000000.0,88680232.75,100000000.0,0.0,0.0,209,0.38807,0.40605,011100800100,BORNO STATE EMERGENCY MANAGEMENT AGENCY (SEMA),23010108,PURCHASE OF BUSES,71091,SOCIAL PROTECTION N.E.C.,20822100,MAIDUGURI METRO,13100126000200,Reform of Government and Governance - General
Procurement of 30kva Solar energy set's for SEMA,0.0,0.0,499330000.0,0.0,29000000.0,0.0,0.0,209,0.39624,0.41422,011100800100,BORNO STATE EMERGENCY MANAGEMENT AGENCY (SEMA),23010119,PURCHASE OF POWER GENERATING SET,71091,SOCIAL PROTECTION N.E.C.,20822100,MAIDUGURI METRO,13100122002100,Reform of Government and Governance - General
Purchase Of 1No. Of Toyota Hilux for Bureau of Public Procurement,0.0,70000000.0,70000000.0,48000000.0,90000000.0,0.0,0.0,209,0.43627,0.45425,011101000100,BORNO STATE BUREAU OF PUBLIC PROCUREMENT (BPP),23010105,PURCHASE OF MOTOR VEHICLES,70133,OTHER GENERAL SERVICES,20822100,MAIDUGURI METRO,13100124006700,Reform of Government and Governance - General
Purchase Of 2No. Of Hp photocopy machine for Bureau of Public Procurement,0.0,3000000.0,3000000.0,0.0,3000000.0,0.0,0.0,209,0.44444,0.46242,011101000100,BORNO STATE BUREAU OF PUBLIC PROCUREMENT (BPP),23010115,PURCHASE OF PHOTOCOPYING MACHINES,70133,OTHER GENERAL SERVICES,20822100,MAIDUGURI METRO,13100123005300,Reform of Government and Governance - General
Software Acquisition For Expansion Of E-Procurement To All Ministry in Maiduguri,0.0,15000000.0,15000000.0,0.0,40000000.0,0.0,0.0,209,0.45261,0.47059,011101000100,BORNO STATE BUREAU OF PUBLIC PROCUREMENT (BPP),23050102,COMPUTER SOFTWARE ACQUISITION,70133,OTHER GENERAL SERVICES,20822100,MAIDUGURI METRO,13100123005500,Reform of Government and Governance - General
Purchase Of 5 Hp Desktop Computers And 3 Hp Laptops for Bureau of Public Procurement.,0.0,3000000.0,3000000.0,0.0,5000000.0,0.0,0.0,209,0.46078,0.47876,011101000100,BORNO STATE BUREAU OF PUBLIC PROCUREMENT (BPP),23010113,PURCHASE OF COMPUTERS,70133,OTHER GENERAL SERVICES,20822100,MAIDUGURI METRO,13100125000100,Reform of Government and Governance - General
Purchase Of Ten (10) Station Wagon Vw Golf for Office of the Secretary to the State Government,29908000.0,100000000.0,100000000.0,0.0,105000000.0,0.0,0.0,209,0.50082,0.51879,016100100100,SECRETARY TO THE STATE GOVERNMENT (SSG),23010105,PURCHASE OF MOTOR VEHICLES,70133,OTHER GENERAL SERVICES,20822100,MAIDUGURI METRO,13100124011300,Reform of Government and Governance - General
Continuation Of Complete Furnishing Of Offices Within Musa Usman Secretariat And Liason Offices in Maiduguri.,0.0,1000000000.0,1000000000.0,1200000.0,1050000000.0,0.0,0.0,209,0.50899,0.52696,016100100100,SECRETARY TO THE STATE GOVERNMENT (SSG),23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70133,OTHER GENERAL SERVICES,20822100,MAIDUGURI METRO,13100124011400,Reform of Government and Governance - General
Purchase Of Computers- Five (5) HP Pavillion core i7 Laptop And Three (3) Desktop pro one Computer Office of the Secretary to the State Government,0.0,3150000.0,3150000.0,0.0,3309000.0,0.0,0.0,209,0.51634,0.53431,016100100100,SECRETARY TO THE STATE GOVERNMENT (SSG),23010113,PURCHASE OF COMPUTERS,70133,OTHER GENERAL SERVICES,20822100,MAIDUGURI METRO,13100124011500,Reform of Government and Governance - General
Purchase Of Three (3) 3-In-1 HP RS900 Colored Printer for Office of the Secretary to the State Government,0.0,2940000.0,2940000.0,0.0,3387000.0,0.0,0.0,209,0.52451,0.54248,016100100100,SECRETARY TO THE STATE GOVERNMENT (SSG),23010114,PURCHASE OF COMPUTER PRINTERS,70133,OTHER GENERAL SERVICES,20822100,MAIDUGURI METRO,13100124011600,Reform of Government and Governance - General
Purchase Of Sharp mx506 Photocopying Machines Five (5) Stand Alone Photocopier for Office of the Secretary to the State Government,0.0,4410000.0,4410000.0,0.0,4630000.0,0.0,0.0,209,0.53268,0.55065,016100100100,SECRETARY TO THE STATE GOVERNMENT (SSG),23010115,PURCHASE OF PHOTOCOPYING MACHINES,70133,OTHER GENERAL SERVICES,20822100,MAIDUGURI METRO,13100124011700,Reform of Government and Governance - General
Completion Of Construction of Newly International Conference Center (ICC) at Maiduguri.,503132088.96,4000000000.0,4000000000.0,1555821779.92,3200000000.0,0.0,0.0,209,0.54085,0.55882,016100100100,SECRETARY TO THE STATE GOVERNMENT (SSG),23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70133,OTHER GENERAL SERVICES,20822100,MAIDUGURI METRO,13100124011900,Reform of Government and Governance - General
Completion Of Rehabilitation / Repairs Office Building within Musa Usman Secretariat in Maiduguri.,15707500.0,410000000.0,410000000.0,19765112.5,430500000.0,0.0,0.0,209,0.54902,0.56699,016100100100,SECRETARY TO THE STATE GOVERNMENT (SSG),23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70133,OTHER GENERAL SERVICES,20822100,MAIDUGURI METRO,13100124012000,Reform of Government and Governance - General
Continuation Of Tree Planting-Landscaping Musa Usman Secretariat in Maiduguri,0.0,579000.0,579000.0,0.0,607000.0,0.0,0.0,209,0.55719,0.57516,016100100100,SECRETARY TO THE STATE GOVERNMENT (SSG),23040101,TREE PLANTING,70133,OTHER GENERAL SERVICES,20822100,MAIDUGURI METRO,13100124012100,Reform of Government and Governance - General
Monitoring And Evaluation is been carried out to ascertain the level of staff performance in Maiduguri.,0.0,150000000.0,300000000.0,0.0,157500000.0,0.0,0.0,209,0.56536,0.58333,016100100100,SECRETARY TO THE STATE GOVERNMENT (SSG),23050103,MONITORING AND EVALUATION,70133,OTHER GENERAL SERVICES,20822100,MAIDUGURI METRO,13100124012200,Reform of Government and Governance - General
"Independence Day Celebration, Celebration of Malud, christmas in Maiduguri.",0.0,17271000.0,17271000.0,0.0,18134000.0,0.0,0.0,209,0.57271,0.59069,016100100100,SECRETARY TO THE STATE GOVERNMENT (SSG),23050104,ANNIVERSARIES/CELEBRATIONS,70133,OTHER GENERAL SERVICES,20822100,MAIDUGURI METRO,13100124012300,Reform of Government and Governance - General
Purchase Of 4Nos. of Hp Laptops For Borno State Urban Planning & Development Board.,0.0,2000000.0,2000000.0,0.0,2000000.0,0.0,0.0,209,0.61356,0.63154,016100500100,BORNO STATE URBAN PLANNING & DEVELOPMENT BOARD (BSUPDB),23010113,PURCHASE OF COMPUTERS,70661,HOUSING AND COMMUNITY AMENITIES N.E.C.,20822100,MAIDUGURI METRO,06100124001100,Housing and Urban Development - General
"Purchase Of 1Nos. of Hp printer ,one M477 colored laserjet Printers and one (1) M1132 laserjet printer For Borno State Urban Planning & Development Board.",0.0,500000.0,500000.0,0.0,500000.0,0.0,0.0,209,0.62092,0.63889,016100500100,BORNO STATE URBAN PLANNING & DEVELOPMENT BOARD (BSUPDB),23010114,PURCHASE OF COMPUTER PRINTERS,70661,HOUSING AND COMMUNITY AMENITIES N.E.C.,20822100,MAIDUGURI METRO,06100123000600,Housing and Urban Development - General
Purchase Of 1Nos. of Mikano 250KVA Power Generating Set For Borno State Urban Planning & Developm,0.0,20000000.0,20000000.0,0.0,15000000.0,0.0,0.0,209,0.62908,0.64706,016100500100,BORNO STATE URBAN PLANNING & DEVELOPMENT BOARD (BSUPDB),23010119,PURCHASE OF POWER GENERATING SET70661 - HOUSING AND COMMUNITY AMENITIES N.E.C.,,ent Board maiduguri.,20822100,MAIDUGURI METRO,06100123000700,Housing and Urban Development - General
Purchases Of 7Nos. of Tripod For Borno State Urban Planning & Development Board maiduguri.,0.0,9000000.0,9000000.0,0.0,2000000.0,0.0,0.0,209,0.63725,0.65523,016100500100,BORNO STATE URBAN PLANNING & DEVELOPMENT BOARD (BSUPDB),23010133,PURCHASES OF SURVEYING EQUIPMENT,70661,HOUSING AND COMMUNITY AMENITIES N.E.C.,20822100,MAIDUGURI METRO,06100123000800,Housing and Urban Development - General
Purchase Of 15Nos. of komatsu WA420-3 2006 For Borno State Urban Planning & Development Board maiduguri.,0.0,40000000.0,40000000.0,0.0,20000000.0,0.0,0.0,209,0.64542,0.6634,016100500100,BORNO STATE URBAN PLANNING & DEVELOPMENT BOARD (BSUPDB),23010139,PURCHASE OF HEAVY DUTY PLANTS & MACHINERIES,70661,HOUSING AND COMMUNITY AMENITIES N.E.C.,20822100,MAIDUGURI METRO,06100124001200,Housing and Urban Development - General
Construction / Interlocking Of Mala Ali Liberty Street (1Km) Behind Gamboru 1 Primary School in Jere LGAs.,0.0,50000000.0,50000000.0,7285000.0,0.0,0.0,0.0,209,0.65359,0.67157,016100500100,BORNO STATE URBAN PLANNING & DEVELOPMENT BOARD (BSUPDB),23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70611,HOUSING DEVELOPMENT,20821300,JERE,06100124001300,Housing and Urban Development - General
Construction Of Conduit Drainages In Some Flood Prone Areas In Mmc & Jere & Construction Of Embankments & Enforcement On Structures Marked For Demolition On Flood Plains For Borno State Urban Planning & Development Board.,0.0,100000000.0,100000000.0,30905000.0,10000000.0,0.0,0.0,209,0.66176,0.67974,016100500100,BORNO STATE URBAN PLANNING & DEVELOPMENT BOARD (BSUPDB),23020116,CONSTRUCTION / PROVISION OF WATER-WAYS,70451,ROAD TRANSPORT,20842800,State wide,06100124001400,Housing and Urban Development - General
Provision Of Electro fusion welding services For Borno State Urban Planning & Development Board maiduguri.,0.0,100000000.0,100000000.0,100000000.0,10000000.0,0.0,0.0,209,0.66912,0.68709,016100500100,BORNO STATE URBAN PLANNING & DEVELOPMENT BOARD (BSUPDB),23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70661,HOUSING AND COMMUNITY AMENITIES N.E.C.,20822100,MAIDUGURI METRO,06100124001600,Housing and Urban Development - General
Monitoring to all naming street within mmc and jere.,0.0,70000000.0,70000000.0,32455000.0,300000000.0,0.0,0.0,209,0.67729,0.69526,016100500100,BORNO STATE URBAN PLANNING & DEVELOPMENT BOARD (BSUPDB),23050103,MONITORING AND EVALUATION,70661,HOUSING AND COMMUNITY AMENITIES N.E.C.,20842800,State wide,06100123000900,Housing and Urban Development - General
"Acquisition Of Land Within Maiduguri Metropolitan Council And Jere, Land Compensation",1778641083.74,2400000000.0,2400000000.0,2400000000.0,2197885000.0,0.0,0.0,209,0.71814,0.73611,016100600100,BORNO GEOGRAPHIC INFORMATION SERVICE (BOGIS),23010101,PURCHASE / ACQUISITION OF LAND,70611,HOUSING DEVELOPMENT,20822100,MAIDUGURI METRO,06100121000400,Housing and Urban Development - General
Purchase Of 15 Hp Laptops And 8 Mark Book Office Use for Agency for Geographic Information System maiduguri.,0.0,20000000.0,20000000.0,0.0,20000000.0,0.0,0.0,209,0.72549,0.74346,016100600100,BORNO GEOGRAPHIC INFORMATION SERVICE (BOGIS),23010113,PURCHASE OF COMPUTERS,70611,HOUSING DEVELOPMENT,20822100,MAIDUGURI METRO,06100122000100,Housing and Urban Development - General
Purchase Of 5 M600 Hp Printers For Office Use for Agency for Geographic Information System.,0.0,5000000.0,5000000.0,1940000.0,4000000.0,0.0,0.0,209,0.73366,0.75163,016100600100,BORNO GEOGRAPHIC INFORMATION SERVICE (BOGIS),23010114,PURCHASE OF COMPUTER PRINTERS,70611,HOUSING DEVELOPMENT,20822100,MAIDUGURI METRO,06100122000200,Housing and Urban Development - General
Purchase Of 1 Mx600D Photocopy Machines for Agency for Geographic Information System maiduguri.,0.0,500000.0,500000.0,0.0,5000000.0,0.0,0.0,209,0.74183,0.7598,016100600100,BORNO GEOGRAPHIC INFORMATION SERVICE (BOGIS),23010115,PURCHASE OF PHOTOCOPYING MACHINES,70611,HOUSING DEVELOPMENT,20822100,MAIDUGURI METRO,06100122000300,Housing and Urban Development - General
Purchases Of (5) Surveying Tripods.5 Story Poles.150 Measuring Tape.1200 Surveyor'S Brush Axes.2500 Land Surveying Markers for Agency for Geographic Information System maiduguri.,0.0,30000000.0,30000000.0,0.0,40000000.0,0.0,0.0,209,0.75,0.76797,016100600100,BORNO GEOGRAPHIC INFORMATION SERVICE (BOGIS),23010128,PURCHASE OF SECURITY EQUIPMENT,70611,HOUSING DEVELOPMENT,20822100,MAIDUGURI METRO,06100122000400,Housing and Urban Development - General
Provision Of Multi-purpose Hall withIn BOGIS,164000000.0,500000000.0,500000000.0,488936339.54,1000000000.0,0.0,0.0,209,0.75817,0.77614,016100600100,BORNO GEOGRAPHIC INFORMATION SERVICE (BOGIS),23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70611,HOUSING DEVELOPMENT,20821300,JERE,06100123001100,Housing and Urban Development - General
Construction Of Boundary Pillars/ Right Of Ways In Mmc And Jere LGAs.,50000000.0,100000000.0,100000000.0,0.0,100000000.0,0.0,0.0,209,0.76634,0.78431,016100600100,BORNO GEOGRAPHIC INFORMATION SERVICE (BOGIS),23020122,CONSTRUCTION OF BOUNDARY PILLARS/ RIGHT OF WAYS,70451,ROAD TRANSPORT,20842800,State wide,06100124001700,Housing and Urban Development - General
Construction Of Markets in Bulumkutum area in MMC.,100000000.0,500000000.0,500000000.0,212772734.05,0.0,0.0,0.0,209,0.77369,0.79167,016100600100,BORNO GEOGRAPHIC INFORMATION SERVICE (BOGIS),23020124,CONSTRUCTION OF MARKETS/PARKS,70471,"DISTRIBUTIVE TRADE, STORAGE AND WAREHOUSING",20842800,State wide,06100124001800,Housing and Urban Development - General
Acquisition Of Relevant Survying Software for Agency for Geographic Information System maiduguri.,0.0,30000000.0,30000000.0,4755000.0,0.0,0.0,0.0,209,0.78186,0.79984,016100600100,BORNO GEOGRAPHIC INFORMATION SERVICE (BOGIS),23050102,COMPUTER SOFTWARE ACQUISITION,70611,HOUSING DEVELOPMENT,20822100,MAIDUGURI METRO,06100123001200,Housing and Urban Development - General
Purchase Of 1Nos. of Toyota Corolla for Agency for sustainable development and humanitaraian agency maiduguri,0.0,14000000.0,14000000.0,7500000.0,20000000.0,0.0,0.0,209,0.8219,0.83987,016100700100,BORNO STATE AGENCY FOR THE COORDINATION OF SUSTAINABLE DEVELOPMENT AND HUMANITARIAN RESPONSE,23010105,PURCHASE OF MOTOR VEHICLES,70132,OVERALL PLANNING AND STATISTICAL SERVICES,20822100,MAIDUGURI METRO,13100123003700,Reform of Government and Governance - General
Purchase Of 15Nos. of Executive Tables And 10Nos. of Executive Chairs for Agency for sustainable development and humanitaraian agency mmc,0.0,7000000.0,7000000.0,6946400.0,19139000.0,0.0,0.0,209,0.83007,0.84804,016100700100,BORNO STATE AGENCY FOR THE COORDINATION OF SUSTAINABLE DEVELOPMENT AND HUMANITARIAN RESPONSE,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70132,OVERALL PLANNING AND STATISTICAL SERVICES,20822100,MAIDUGURI METRO,13100122001500,Reform of Government and Governance - General
Purchase Of 10Nos. of Hp Desktops And 2Nos. of Hp Laptops Computers for Agency for sustainable development and humanitaraian agency mmc,2000000.0,3000000.0,3000000.0,0.0,3000000.0,0.0,0.0,209,0.83824,0.85621,016100700100,BORNO STATE AGENCY FOR THE COORDINATION OF SUSTAINABLE DEVELOPMENT AND HUMANITARIAN RESPONSE,23010113,PURCHASE OF COMPUTERS,70132,OVERALL PLANNING AND STATISTICAL SERVICES,20822100,MAIDUGURI METRO,13100124003400,Reform of Government and Governance - General
Purchase Of 2Nos. of Hp Laser Jet Computer Printers for Agency for sustainable development and humanitaraian agency maiduguri,0.0,2000000.0,2000000.0,799000.0,2000000.0,0.0,0.0,209,0.84641,0.86438,016100700100,BORNO STATE AGENCY FOR THE COORDINATION OF SUSTAINABLE DEVELOPMENT AND HUMANITARIAN RESPONSE,23010114,PURCHASE OF COMPUTER PRINTERS,70132,OVERALL PLANNING AND STATISTICAL SERVICES,20822100,MAIDUGURI METRO,13100124003500,Reform of Government and Governance - General
Purchase Of 2Nos. of Sharp Photocopying Machines for Agency for sustainable development and humanitaraian agency,0.0,2000000.0,2000000.0,1741000.0,2000000.0,0.0,0.0,209,0.85458,0.87255,016100700100,BORNO STATE AGENCY FOR THE COORDINATION OF SUSTAINABLE DEVELOPMENT AND HUMANITARIAN RESPONSE,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70132,OVERALL PLANNING AND STATISTICAL SERVICES,20822100,MAIDUGURI METRO,13100124003600,Reform of Government and Governance - General
Purchase Of 250 Kva Mikano for Agency for sustainable development and humanitaraian agency maidug,0.0,12000000.0,12000000.0,2289200.0,10000000.0,0.0,0.0,209,0.86275,0.88072,016100700100,BORNO STATE AGENCY FOR THE COORDINATION OF SUSTAINABLE DEVELOPMENT AND HUMANITARIAN RESPONSE,23010119,PURCHASE OF POWER GENERATING SET70132 - OVERALL PLANNING AND STATISTICAL SERVICES,,uri,20822100,MAIDUGURI METRO,13100123003800,Reform of Government and Governance - General
Research on upgrading the development plan and implementing the strategic initiatives across the state,3975000.0,5000000.0,5000000.0,1070000.0,5000000.0,0.0,0.0,209,0.87092,0.88889,016100700100,BORNO STATE AGENCY FOR THE COORDINATION OF SUSTAINABLE DEVELOPMENT AND HUMANITARIAN RESPONSE,23050101,RESEARCH AND DEVELOPMENT,70132,OVERALL PLANNING AND STATISTICAL SERVICES,20842800,State wide,13100121000400,Reform of Government and Governance - General
